index,Age,Education,Sex,Income,Industry,Included,State,Income Decile
0,41.0,Medium,Male,45020.6292114272,Construction,0,Oaxaca,5
1,45.0,Low,Male,6000.0,Construction,1,Oaxaca,1
2,33.0,High,Male,80000.0,Retail,1,Oaxaca,8
3,29.0,Medium,Male,61000.0,Government,1,Oaxaca,7
4,46.0,Low,Male,48000.0,Construction,1,Oaxaca,6
5,48.0,Low,Male,64000.0,Construction,1,Oaxaca,7
6,34.0,Medium,Male,45600.0,Retail,1,Oaxaca,5
7,59.0,Low,Male,72000.0,Health / Social Services,1,Oaxaca,8
8,47.0,Low,Male,57600.0,Professional / Scientific,1,Oaxaca,7
9,58.0,Low,Male,72000.0,Government,1,Oaxaca,8
10,45.0,Medium,Male,343800.0,Construction,0,Oaxaca,10
11,50.0,Medium,Male,59200.0,Other Services (Not Government),1,Oaxaca,7
12,28.0,Medium,Male,15000.0,Other Services (Not Government),1,Oaxaca,2
13,58.0,Low,Male,28800.0,Business Services,0,Oaxaca,4
14,47.0,Low,Male,456200.0,Construction,1,Oaxaca,10
15,57.0,Low,Male,48000.0,Agriculture,1,Oaxaca,6
16,45.0,Low,Male,83000.0,Construction,1,Oaxaca,8
17,45.0,Low,Male,48000.0,Education,1,Oaxaca,6
18,38.0,Medium,Female,30000.0,Construction,0,Oaxaca,4
19,43.0,Medium,Male,72000.0,Government,0,Oaxaca,8
20,32.0,Low,Male,21600.0,Agriculture,0,Oaxaca,3
21,34.0,Medium,Male,20000.0,Government,1,Oaxaca,2
22,48.0,Low,Male,68800.0,Construction,1,Oaxaca,7
23,51.0,Low,Male,41600.0,Construction,1,Oaxaca,5
24,54.0,Low,Male,88200.0,Construction,1,Oaxaca,8
25,46.0,Low,Female,72000.0,Government,0,Oaxaca,8
26,56.0,Low,Female,16800.0,Transportation,1,Oaxaca,2
27,33.0,High,Male,144000.0,Other Services (Not Government),1,Oaxaca,9
28,38.0,Low,Male,22800.0,Manufacturing,1,Oaxaca,3
29,50.0,High,Male,25000.0,Other Services (Not Government),1,Oaxaca,3
30,50.0,High,Female,99120.0,Education,1,Oaxaca,9
31,48.0,High,Female,57000.0,Health / Social Services,1,Oaxaca,6
32,57.0,Low,Male,57600.0,Retail,1,Oaxaca,7
33,29.0,Medium,Female,43200.0,Manufacturing,1,Oaxaca,5
34,40.0,Low,Female,33600.0,Manufacturing,1,Oaxaca,4
35,52.0,Low,Female,48000.0,Other Services (Not Government),0,Oaxaca,6
36,40.0,Medium,Male,72000.0,Government,1,Oaxaca,8
37,40.0,Low,Male,50400.0,Construction,0,Oaxaca,6
38,36.0,High,Male,115000.0,Other,1,Oaxaca,9
39,36.0,High,Male,115000.0,Other,1,Oaxaca,9
40,36.0,High,Male,115000.0,Other,1,Oaxaca,9
41,44.0,Low,Male,26952.354442544005,Construction,0,Oaxaca,3
42,26.0,Medium,Male,28800.0,Retail,0,Oaxaca,4
43,63.0,Low,Female,57000.0,Government,0,Oaxaca,6
44,30.0,Medium,Male,72000.0,Education,1,Oaxaca,8
45,55.0,Low,Female,36000.0,Retail,1,Oaxaca,5
46,33.0,Medium,Male,25000.0,Manufacturing,1,Oaxaca,3
47,48.0,Low,Female,19641.82611296379,Transportation,0,Oaxaca,2
48,32.0,Low,Male,25000.0,Government,1,Oaxaca,3
49,55.0,Low,Male,24000.0,Other Services (Not Government),1,Oaxaca,3
50,55.0,Low,Male,24000.0,Other Services (Not Government),1,Oaxaca,3
51,39.0,High,Male,20160.0,Hospitality,1,Oaxaca,2
52,50.0,Low,Female,40320.0,Manufacturing,0,Oaxaca,5
53,54.0,Low,Female,14400.0,Finance / Insurance,0,Oaxaca,2
54,49.0,Medium,Male,6250.0,Retail,1,Oaxaca,1
55,57.0,High,Male,211000.0,Finance / Insurance,0,Oaxaca,10
56,50.0,Medium,Male,84000.0,Government,1,Oaxaca,8
57,50.0,Medium,Male,180000.0,Transportation,1,Oaxaca,10
58,49.0,Medium,Male,160000.0,Retail,1,Oaxaca,10
59,46.0,Medium,Female,196800.0,Other,1,Oaxaca,10
60,46.0,Medium,Female,196800.0,Other,1,Oaxaca,10
61,46.0,Medium,Female,196800.0,Other,1,Oaxaca,10
62,46.0,Medium,Female,196800.0,Other,1,Oaxaca,10
63,52.0,Low,Female,31200.0,Hospitality,1,Oaxaca,4
64,51.0,Medium,Female,72000.0,Government,1,Oaxaca,8
65,52.0,Low,Male,77500.0,Retail,1,Oaxaca,8
66,52.0,High,Female,192250.0,Professional / Scientific,1,Oaxaca,10
67,52.0,High,Female,316000.0,Education,1,Oaxaca,10
68,61.0,Low,Male,48000.0,Manufacturing,1,Oaxaca,6
69,57.0,Low,Male,43200.0,Transportation,0,Oaxaca,5
70,39.0,Medium,Male,120000.0,Health / Social Services,1,Oaxaca,9
71,60.0,High,Male,5000.0,Other Services (Not Government),0,Oaxaca,1
72,52.0,Low,Male,84000.0,Health / Social Services,0,Oaxaca,8
73,49.0,Medium,Male,4200.0,Cultural / Sport / Recreational,1,Oaxaca,1
74,29.0,Medium,Male,169000.0,Health / Social Services,1,Oaxaca,10
75,48.0,Medium,Female,336600.0,Finance / Insurance,1,Oaxaca,10
76,42.0,Low,Male,66000.0,Retail,1,Oaxaca,7
77,51.0,Low,Male,150000.0,Retail,0,Oaxaca,9
78,34.0,Low,Male,34560.0,Hospitality,0,Oaxaca,4
79,50.0,Low,Male,56800.0,Construction,1,Oaxaca,6
80,50.0,Low,Male,26133.7949911462,Retail,1,Oaxaca,3
81,38.0,Medium,Female,46000.0,Transportation,0,Oaxaca,6
82,45.0,Low,Male,30000.0,Construction,0,Oaxaca,4
83,47.0,Low,Male,36000.0,Education,0,Oaxaca,5
84,44.0,Medium,Female,138500.0,Mining,1,Oaxaca,9
85,49.0,Medium,Male,72000.0,Transportation,1,Oaxaca,8
86,57.0,Medium,Female,12500.0,Government,1,Oaxaca,2
87,56.0,Low,Male,193960.0,Education,1,Oaxaca,10
88,54.0,Medium,Male,21000.0,Manufacturing,1,Oaxaca,3
89,41.0,High,Male,48000.0,Government,1,Oaxaca,6
90,35.0,Medium,Male,33215.600768232565,Finance / Insurance,1,Oaxaca,4
91,45.0,High,Male,102339.11993022652,Government,1,Oaxaca,9
